NAME,nrow.dc2.,pop,mean.times.,mean.dis.,mean.teo_dis.,sd.times.,sd.dis.,sd.teo_dis.,sum.times.,sum.dis.,sum.teo_dis.,skewness.times.,skewness.dis.,skewness.teo_dis.,LAND,WATER,AREA,CENTRO,DENSITY,MST,SUMDIS_MST
DALLAS,353,1300239,0.372550345190868,22.065192562335,15914.2532873249,0.143321765230255,11.7203421051355,8742.49780719562,46423.1259638889,2749521.58,1983059187.88027,0.122465034661464,0.454714716399436,0.58597240750631,879569482,113591297,993160779,1,0.8,449383.3,4099108330
EL PASO,145,676395,0.330747910159863,20.4511429250892,14431.0802421427,0.155556592699791,11.165258196024,7889.29488990314,6953.97481111111,429985.28,303413462.091051,0.307738943758887,0.272969899011517,0.333442114028208,669550785,2118874,671669659,0,0.45,212514.8,529190520
HOUSTON,655,2293288,0.422408269519388,26.2873750014568,19744.4732702458,0.189584790765498,14.6241659591027,11595.5303420589,181223.707830556,11277941.06,8470872644.76722,0.799888492168852,0.800514039711741,0.860399605831426,1659190615,80885505,1740076120,1,1.0,797353.5,18496578567
LAREDO,60,254697,0.190773219135802,9.33043055555556,6883.7042530959,0.0966465759995052,5.63065584590024,4440.96972327484,686.783588888889,33589.55,24781335.3111453,0.571368737628403,0.885751131574784,1.02335453801145,276672979,3804554,280477533,0,0.8, 78349.3,38198268
SAN ANTONIO,294,1434540,0.363570718540629,21.8785665694849,15835.3981084204,0.140289420152381,10.7182040057459,7913.13742911521,31425.5986277778,1891095.78,1368748470.89943,0.224173477352406,0.373800839984441,0.377194970402907,1292201988,15001035,1307203023,1,0.5,464914.1,3381994706
WASHINGTON,206,689546,0.228757091201391,8.35948015835611,6238.64612793512,0.113485281063692,4.37708134990492,3422.23396391819,9707.53592222222,354742.9,264743187.085055,0.460634398924688,0.488998652837061,0.534439900440363,158316184,18709787,177025971,1,2.6,137128.3,485248432
CAPE CORAL,39,193003,0.254609942289429,11.7233990795529,8546.56447909422,0.108711845701827,5.70301314211912,4686.11436731812,387.261722222222,17831.29,12999324.5727023,0.216876368180757,0.33523455599702,0.427392182686656,274646351,34620706,309267057,0,0.3,79981.94,21276775
FORT LAUDERDALE,47,182247,0.204246062823802,7.95136260751471,5620.96442579915,0.091546429397463,4.61979503428066,3207.59864364516,451.179552777778,17564.56,12416710.4165903,0.0380301641544383,0.675473635254191,0.487146594348616,89566054,4448419,94014473,0,0.7,56543.76,20868053
HIALEAH,57,224362,0.138947252145959,5.89543859649123,4373.14874909788,0.0691940549107045,3.29334174917321,2565.25071041949,451.439622222222,19154.28,14208360.285819,0.492844024277474,0.694093601032855,0.717263918257682,55895715,3198603,59094318,0,1.6,45930.95,23176540
HOLLYWOOD,37,152197,0.16976656115575,6.65753834915997,4939.96364627144,0.0852492969891939,3.65506797924766,2824.40604079481,232.410422222222,9114.17,6762810.23174561,0.287098716405408,0.441555149620015,0.465700647720833,70579359,9130066,79709425,0,0.9,46271.43,11151327
JACKSONVILLE,206,937690,0.446194111001142,24.7279950985013,16669.7044848557,0.175272707993898,13.1555948847657,8439.15014497604,18934.6932944444,1049357.2,707395579.519336,0.148010636705962,0.606032065983319,0.428405291063258,1935396346,329443082,2264839428,1,0.25,408874.8,1408340831
MIAMI,128,440807,0.192541113111708,7.0218212890625,5204.10454422822,0.091773205810146,3.9461951913964,2858.35713934859,3154.59359722222,115045.52,85264048.8526352,0.519037637549809,0.87598574182084,0.541157357096008,93228402,52000009,145228411,1,2.6,90452.22,176523776
ORLANDO,61,302968,0.278219975215742,13.6174361730718,9238.67671071852,0.129017242484069,8.26052845202684,5262.64942217474,1035.25652777778,50670.48,34377116.0405836,0.31314912371433,0.866196663237248,0.484294253495256,287562866,21337650,308900516,0,0.55,99956.06,61281798
PORT SAINT LUCIE,36,202177,0.248601986882716,11.4438966049383,7569.21579286971,0.116984724495554,5.90760899455477,3863.65925261887,322.188175,14831.29,9809703.66755914,0.525353953276528,0.515147068924359,0.254009769364397,308768075,4169079,312937154,0,0.26,72019.05,18448886
ST PETERSBURG,73,258245,0.193419875002606,9.49978795271158,6956.30340266122,0.0852194329442043,5.18392917660248,3789.32461866849,1030.73451388889,50624.37,37070140.8327817,0.198720923190826,0.545471705982542,0.587510516418186,160071384,190781773,350853157,0,0.7,91214.4,62002038
TALLAHASSEE,49,195057,0.247074204035356,9.23542274052478,6758.03279088962,0.121796923257729,5.34168806012038,4076.62899230128,593.225163888889,22174.25,16226036.730926,0.379630935937546,0.85455970237456,0.72312186133558,263876094,7480294,271356388,1,0.5,77443.89,29206473
TAMPA,99,380476,0.292025060934825,13.8458085909601,10142.8995389941,0.1767564527318,10.2503705797466,7084.55472827284,2862.13762222222,135702.77,99410558.3816813,1.00143875534273,1.44840093834982,1.22129761582192,294322327,164618516,458940843,0,0.55,138296.1,202562095
EVANSVILLE,44,117184,0.152739046717172,7.30314049586777,5299.83834689332,0.0682378859722412,3.73906865006713,2780.70683055466,295.702794444444,14138.88,10260487.0395855,0.184872711220649,0.387400216078316,0.426869451092508,122648922,1280018,123928940,0,0.7,59149.75,20051791
FORT WAYNE,63,262676,0.238443025111279,10.2008390022676,7545.07524484872,0.109372868845581,5.56632236163155,4139.90426764746,946.380366666667,40487.13,29946403.6468046,0.226071319224943,0.830253962964786,0.57453837417125,286593533,863476,287457009,1,0.45,100058.5,52978472
SOUTH BEND,38,107806,0.153839031240382,6.16038088642659,4506.80188460089,0.0752861617181684,3.39529190664548,2446.18184528794,222.143561111111,8895.59,6507821.92136368,0.417319797997887,0.936752402642555,0.56290362230216,108716795,1104620,109821415,0,0.7,45871.62,10625937
BOSTON,204,672814,0.221853259363386,8.02717800845829,5907.72785694027,0.101185477421357,4.19528038659814,3277.37432113626,9232.64524166667,334059.04,245856002.494426,0.426722551697761,0.573319751623241,0.610865627281548,125200664,106897982,232098646,0,3.5,123579.9,494379172
CAMBRIDGE,34,116892,0.112430940023068,3.49339100346021,2565.26468340498,0.0583090885200993,1.9703586829876,1554.49772857837,129.970166666667,4038.36,2965445.97401615,0.232660286376695,0.474140500525473,0.481410608906771,16567881,1829521,18397402,0,3.2,19413.55,4916413
SPRINGFIELD,37,155770,0.145463714390066,6.13390796201607,4624.7514111242,0.0679180962087084,3.00550883009518,2443.51221095932,199.139825,8397.32,6331284.68182902,0.179389714712602,0.192454522809742,0.28167084547772,82542448,3134491,85676939,0,0.9,44250.56,11562155
WORCESTER,46,203867,0.156650905797101,5.88176748582231,4173.03633347533,0.0688078723245656,2.92804704111625,2184.80728806298,331.473316666667,12445.82,8830144.88163379,0.248968360914907,0.427820552491723,0.409765451934249,96762671,2808413,99571084,1,1.0,48542.16,15243046
BUFFALO,91,276011,0.1685083759342,6.71951455138268,5166.36033114404,0.076214084381333,3.32907163889147,2723.11634856336,1395.41786111111,55644.3,42782629.9022038,0.322156085123619,0.523970189400193,0.571159471837529,104580246,31342099,135922345,0,1.3,75784.86,88812762
NEW YORK,2295,8736047,0.459030628026363,20.1210392489119,14657.9228920497,0.225071584132228,11.3384632058223,8157.21797281854,2417725.79358056,105978016.75,77203646320.4981,0.706870691945423,0.717062845169547,0.700800664423079,778180766,445408358,1223589124,0,5.0,987069.3,236300791005
ROCHESTER,82,211100,0.133535365853659,5.65704342653183,4422.82639991322,0.0629199949390514,2.91593506278759,2460.66182437024,897.8918,38037.96,29739084.7130165,0.540955902646851,0.750785108636018,0.877925892227099,92621741,3650730,96272471,0,1.5,69850.47,59555928
YONKERS,58,209730,0.149222444345356,5.49219381688466,3725.34319839466,0.0715031101002118,2.91455928844504,2038.85598205102,501.984302777778,18475.74,12532054.5193996,0.480729145216374,0.622570793049932,0.500396219043022,46634440,5850607,52485047,0,2.0,41103.05,23647428
WEST JORDAN,23,116045,0.147415038857383,5.84406427221172,4174.87366359902,0.0659600640453997,2.83533947309303,2220.0713821667,77.9825555555555,3091.51,2208508.16804388,-0.0957130080098892,0.0608412490221298,0.333210257279794,83705087,0,83705087,0,0.65,30464.89,3932953
WEST VALLEY,28,139361,0.153275010629252,6.88209183673469,4774.48645476205,0.0688134268008577,4.25867828106851,2755.279869513,120.167608333333,5395.56,3743197.38053345,0.119349850350377,1.09654306849906,0.469656674695875,92792074,136726,92928800,0,0.5,36156.06,6002943
ATLANTA,173,492204,0.26177576867104,11.532628220121,8492.80315909239,0.116329348063565,6.14355460574783,4605.70177630704,7834.68698055556,345160.03,254181105.748476,0.432183881101816,0.783845196447621,0.605849782900756,350382433,2565326,352947759,1,1.2,188148.7,479570844
COLUMBUS(GA),59,204366,0.26604600370264,12.3279948290721,8460.71893723545,0.14717392504797,7.4030792949353,4800.76216952426,926.106138888889,42913.75,29451762.6205166,1.39217571650075,1.13643135319939,0.67044800183626,560731675,11683933,572415608,0,0.45,111202.5,59130349
MACON-BIBB,48,156711,0.299885756655093,13.3472005208333,9602.68170158382,0.143370296922685,7.31972526538,5342.66213262559,690.936783333333,30751.95,22124578.6404491,0.36584567878805,0.491426067350349,0.440340796493545,645898113,14305197,660203310,0,0.26,113924.9,41083896
AKRON,61,191483,0.192678236883753,7.6253641494222,5532.3831829384,0.0805278027473922,3.73982735397249,2872.66309314402,716.955719444444,28373.98,20585997.8237138,0.258469559828486,0.509052791517065,0.490628764387069,160405166,884027,161289193,1,0.7,76687.04,36840508
CINCINATTI,105,308664,0.29648108994709,10.8964680272109,7788.2147997292,0.134375785264124,6.16702023037541,4489.22411650937,3268.70401666667,120133.56,85865068.1670144,0.478601806221813,0.841303335753131,0.795693001446287,201768527,4486905,206255432,1,1.1,122454.9,184994973
CLEVELAND,157,374861,0.252265958389117,12.4643486551179,31157.9380696135,0.10937855398483,6.84353696128872,18032.3963732898,6218.10360833333,307233.73,234090530,0.154968221118953,0.524234064765857,0.613376734099761,201334000,12290112,213624112,0,1.1,144840,450662921
COLUMBUS,212,898143,0.332688792348997,17.8109660911356,12596.1794545464,0.132861797777931,9.61777774428447,6586.63387121285,14952.3650833333,800496.06,566122689.405133,0.14194904487992,0.652507268234664,0.466137968990484,570091822,15177233,585269055,1,0.7,277624.2,1135670188
DAYTON,52,138416,0.180879568334977,7.64766642011834,5918.72295470622,0.0785252107292338,3.73916340149335,3145.12961089918,489.098352777778,20679.29,16004226.8695256,0.332100580101,0.384940723877214,0.439368086052258,144536867,2988000,147524867,0,0.6,68946.45,29487603
TOLEDO,114,271454,0.194522907048323,9.70154970760234,7082.49803409535,0.0802532927648742,4.90044086393642,3576.23839536968,2528.0197,126081.34,92044144.4511031,0.216242986925222,0.527141118425864,0.365892125944006,208462505,8657577,217120082,1,0.8,120428.9,190192762
DETROIT,273,645658,0.327467061106713,14.9714741912544,10966.2162294173,0.137556411616575,7.96399147256639,5832.81264078678,24405.7925972222,1115809.0,817301129.36224,0.241545153151845,0.476308801471858,0.466737835263295,359311023,10781269,370092292,1,1.0,257585,2028463257
GRAN RAPIDS,54,197858,0.167005062109435,7.58853223593964,5447.60549051777,0.0724875794700677,4.01750620779405,2887.22064660849,486.986761111111,22128.16,15885217.6103498,0.315665507179767,0.644730783345545,0.513359698097079,115968798,2217914,118186712,1,0.7,67096.41,24889147
STERLING HEIGHTS,31,134062,0.209888764597063,7.23795005202914,4968.23063817294,0.0839085751644,3.29078509211747,2407.12275214049,201.703102777778,6955.67,4774469.6432842,-0.159768270305356,0.0746119259424446,0.0948003682714388,94398390,701666,95100056,0,0.38,47620.59,9309625
CARY,32,171603,0.233520309787326,10.413935546875,6851.30259692254,0.0986014217931456,6.15022666374111,4013.82003395953,239.124797222222,10663.87,7015733.85924868,0.0638916075640275,1.02751042168431,0.59871902829833,153663670,2804193,156467863,0,0.3,62660.38,11634632
CHARLOTTE,239,864871,0.416368435426551,20.8361388981285,14400.0218522855,0.159674908109985,11.8571072548631,7542.61265055718,23783.3814,1190181.09,822543648.224397,0.0773670799308127,0.929111889902888,0.512361976038492,800727152,5121615,805848767,1,0.55,347491.3,1735886347
DURHAM,53,279106,0.245569705510067,10.602833748665,7450.30164541845,0.104445830414296,5.97833395414589,4086.79689531968,689.805302777778,29783.36,20927897.3219804,0.145996526540072,0.705249695330223,0.533499816759022,294058505,2135861,296194366,1,0.45,86592.35,39964388
FAYETTEVILLE,51,208497,0.275356231577598,12.8454248366013,8757.61474802446,0.107281639974011,6.11617247566947,4416.48736173699,716.201558333333,33410.95,22778555.9596116,-0.0427998609028433,0.376655006930168,0.345552075384032,384005426,4734376,388739802,0,0.24,105172.3,44352174
GREENSBORO,69,295483,0.242868326565381,11.1196051249737,7825.93538107376,0.0996486049284033,5.72240827647735,3901.62857436981,1156.29610277778,52940.44,37259278.3492922,0.158666853951255,0.676023773789126,0.317568235879566,337369023,13565430,350934453,1,0.4,112793.2,67786254
RALEIGH,91,462219,0.293554233922366,14.9978166888057,10411.1058748139,0.124453096951703,8.15013845000903,5482.32965862473,2430.92261111111,124196.92,86214367.7493341,0.263097910912844,0.67852858889613,0.452168202399908,381010726,2770251,383780977,0,0.35,153942,156730539
